channel,phase,time
BHN,S,2014-01-31T07:37:08.609537
BHZ,P,2014-01-31T07:36:57.816056
BHN,S,2014-01-31T19:33:12.337955
BHN,S,2014-02-01T06:17:55.212747
BHN,S,2014-02-06T16:06:50.325266
BHZ,P,2014-02-06T16:06:39.701091
BHN,S,2014-02-07T14:31:55.363581
BHZ,P,2014-02-07T14:31:44.114606
BHN,S,2014-02-10T01:42:31.159213
BHN,S,2014-02-13T02:39:21.400847
BHZ,P,2014-02-13T02:39:10.334860
BHN,S,2014-02-13T19:50:58.888089
BHZ,P,2014-02-13T19:50:47.103147
BHN,S,2014-02-14T07:09:16.656468
BHZ,P,2014-02-14T07:09:06.185389
BHN,S,2014-02-15T21:05:45.550310
BHN,S,2014-02-23T08:40:04.268595
BHZ,P,2014-02-23T08:39:53.324703
BHN,S,2014-02-23T15:23:50.441246
BHN,S,2014-02-27T01:46:30.831485
BHN,S,2014-03-01T12:02:07.058246
BHZ,P,2014-03-01T12:01:56.656652
BHN,S,2014-03-07T20:56:33.805592
BHE,S,2014-03-14T13:38:20.667085
BHZ,P,2014-03-14T13:38:10.590825
BHN,S,2014-03-16T09:33:40.379035
BHN,S,2014-03-19T13:08:45.057247
BHZ,P,2014-03-19T13:08:34.143474
BHN,S,2014-03-20T20:28:40.963808
BHZ,P,2014-03-20T20:28:28.820161
BHN,S,2014-03-21T01:52:56.374902
BHZ,P,2014-03-21T01:52:45.729168
BHN,S,2014-03-22T00:07:25.366758
BHZ,P,2014-03-22T00:07:10.666832
BHN,S,2014-03-29T02:35:33.094749
BHZ,P,2014-03-29T02:35:22.272582
BHN,S,2014-04-01T22:31:53.829113
BHZ,P,2014-04-01T22:31:46.272735
BHN,S,2014-04-03T13:40:01.535837
BHZ,P,2014-04-03T13:39:50.216939
BHN,S,2014-04-03T21:01:44.243657
BHZ,P,2014-04-03T21:01:33.751975
BHE,S,2014-04-08T18:29:16.334101
BHN,S,2014-04-10T08:03:51.075525
BHZ,P,2014-04-10T08:03:40.232080
BHN,S,2014-04-13T03:07:33.951723
BHZ,P,2014-04-13T03:07:22.928075
BHN,S,2014-04-15T03:05:49.907435
BHZ,P,2014-04-15T03:05:38.075906
BHN,S,2014-04-15T10:23:40.860947
BHZ,P,2014-04-15T10:23:29.149445
BHN,S,2014-04-20T14:30:11.306271
BHZ,P,2014-04-20T14:30:01.240222
BHN,S,2014-04-21T22:52:58.589906
BHZ,P,2014-04-21T22:52:47.908835
BHN,S,2014-04-26T02:47:54.167168
BHZ,P,2014-04-26T02:47:43.314835
BHN,S,2014-04-27T00:02:25.540881
BHZ,P,2014-04-27T00:02:15.059620
BHN,S,2014-04-28T05:20:32.142712
BHZ,P,2014-04-28T05:20:21.683431
BHN,S,2014-04-28T16:02:19.922700
BHZ,P,2014-04-28T16:02:09.358008
BHN,S,2014-04-28T21:48:14.880514
BHZ,P,2014-04-28T21:48:04.422163
BHN,S,2014-04-30T08:57:56.360374
BHZ,P,2014-04-30T08:57:45.866073
BHN,S,2014-05-04T03:31:30.185471
BHZ,P,2014-05-04T03:31:19.330477
BHN,S,2014-05-05T09:44:11.774518
BHZ,P,2014-05-05T09:44:00.933403
BHN,S,2014-05-05T10:14:23.327411
BHZ,P,2014-05-05T10:14:12.774405
BHN,S,2014-05-07T13:02:26.634023
BHZ,P,2014-05-07T13:02:15.818055
BHN,S,2014-05-10T20:16:03.292093
BHZ,P,2014-05-10T20:15:51.884433
BHN,S,2014-05-11T23:12:16.379772
BHZ,P,2014-05-11T23:12:05.592313
BHN,S,2014-11-14T09:19:22.847202
BHN,S,2014-11-14T21:53:13.462270
BHZ,P,2014-11-14T21:52:58.969491
BHN,S,2014-11-16T23:41:20.399460
BHZ,P,2014-11-16T23:41:08.783512
BHN,S,2014-11-17T08:09:54.018532
BHZ,P,2014-11-17T08:09:43.124631
BHN,S,2014-11-20T12:31:57.524764
BHZ,P,2014-11-20T12:31:46.905721
BHN,S,2014-11-20T18:03:13.159421
BHZ,P,2014-11-20T18:03:02.513816
BHN,S,2014-11-24T13:47:16.186829
BHZ,P,2014-11-24T13:47:03.656775
BHN,S,2014-11-24T14:11:57.654687
BHZ,P,2014-11-24T14:11:47.790131
BHN,S,2014-11-24T18:50:42.837021
BHZ,P,2014-11-24T18:50:31.504140
BHN,S,2014-12-02T07:51:07.572347
BHN,S,2014-12-08T01:38:17.932640
BHN,S,2014-12-11T10:55:56.256244
